   -1.12665D+00   -6.36695D-05    3.27007D-05
   -2.84225D-05    1.49372D-01   -1.44069D+00
   -4.16362D-01    6.47489D-05   -8.36111D-05
    1.59942D-05    6.51497D-01   -6.86922D-01
   -2.55272D-01   -6.53002D-05    8.34294D-05
   -4.78751D-06   -3.06684D-01    1.81076D-01
    1.94274D-01   -2.21144D-05    5.41371D-05
    3.68681D-01   -4.70948D-06    6.78045D-06
   -1.85966D-05    1.40088D+00    4.09352D-01
   -9.95228D-05   -3.28062D-01   -1.00508D+00
   -1.47851D-02    3.52077D-04   -1.00348D-03
   -1.85843D-04    5.17154D-01   -1.62630D+00
    2.32756D-01    2.30034D-05    3.44203D-06
   -1.82263D-03    1.35264D-01   -1.43571D-01
    1.28693D-02    1.90105D-02   -2.00694D-02
   -1.89249D-05    1.30543D+00   -1.20047D+00
   -7.16618D-01    1.33533D-04   -9.06825D-05
   -7.56246D-05    4.40407D-02   -3.35954D-01
   -2.82666D-02    1.11549D-04    7.68932D-05
    2.20185D-05   -2.77837D-01   -6.60907D-01
    2.74055D-05   -4.16664D-01   -4.15973D-02
   -2.30943D-01    3.05743D-04    4.08168D-04
   -2.91525D-04   -6.77008D-01   -9.24184D-01
   -6.93025D-06    3.23112D-01   -5.05279D-02
   -2.86185D+00   -1.06468D-04    6.82461D-05
    7.75192D-01    6.81588D-05   -5.30062D-05
   -3.79881D-04    9.90689D-01   -2.71196D+00
   -2.15531D-01    6.99454D-05   -2.47334D-05
   -6.18936D-05    2.02873D+00    2.96745D-01
    3.04157D+00    4.89278D-05    2.59997D-05
    1.12783D+00    5.87861D-05   -2.09975D-05
   -6.75645D-05    3.66800D+00    8.58576D-01
   -9.04425D-05   -6.78342D-01    1.10520D+00
   -1.62064D-01   -8.37222D-06    2.95029D-05
   -7.18017D-06   -1.23387D+00    7.81763D-02
   -2.20989D-05    1.04179D+00    1.54268D-01
    2.55324D+00    1.55162D-05   -7.00146D-05
   -1.69038D+00   -3.77874D-05    1.40876D-05
    2.55185D-06    8.27370D-01    1.83770D-01
    6.48434D+00    9.30642D-05   -4.40098D-05
    1.40217D-04   -4.33271D-02    7.51383D-01
    7.12522D+00    1.80625D-04   -1.25722D-04
   -5.89343D-05    1.02814D+00    8.81239D-02
    1.02378D+00    4.99029D-05   -4.61841D-05
   -2.01093D+00    1.23048D-05   -6.04876D-05
   -1.10466D-04   -3.06026D+00    1.50556D+00
    2.38059D-04   -4.87505D+00   -2.16926D+00
    6.29978D-05   -2.51088D+00   -4.72548D-01
    3.78488D+00    1.34929D-04    1.10768D-05
    1.23088D-04   -7.68526D+00   -1.09065D+00
   -1.04376D-05    1.01453D+00   -6.26441D-01
   -6.97374D+00   -1.79211D-04    1.21663D-04
    1.74681D-01   -9.87752D-06    2.66992D-05
   -8.16556D+00   -1.78759D-04    1.26075D-04
    1.63030D-04   -1.66825D+00    2.74473D+00
    9.30032D-05    1.46287D+00    1.61875D+00
   -3.89312D-01    1.12912D-05    1.36788D-04
   -1.84573D+00    1.12022D-05   -8.18143D-05
    2.85195D-05   -6.87250D-01    6.06565D+00
   -9.54831D-06   -1.09524D+00    5.83251D+00
   -2.64995D-02    3.65549D-03   -1.95807D-02
   -4.73315D-06    7.49351D-01   -9.18335D-01
   -6.95115D+00   -1.59597D-04   -3.32381D-05
    5.28862D+00    8.59138D-05    6.10496D-06
   -5.90262D+00   -3.54666D-04    5.95797D-05
   -1.01945D-03    1.34330D+00    1.50482D-01
    1.78922D-02   -2.93202D-04   -9.57341D-04
   -1.85288D-05   -3.13464D-01   -9.75537D-01
    4.08368D-06    3.90594D+00    4.95685D+00
    1.85946D+00    4.77030D-05    1.66148D-05
    2.06546D-05   -1.06538D+00   -1.51955D+00
    2.93339D+00   -2.97300D-02   -4.10192D-03
