       Frequencies ---    12.0337   18.7242   23.0367   34.7097   39.1223
    Reduced masses ---     4.3932    3.7015    3.4407    3.5279    3.5536
   Force constants ---     0.0004    0.0008    0.0011    0.0025    0.0032
    IR Intensities ---     0.0257    0.7580    1.3228    0.5830    0.4040
  Raman Activities ---     7.6935    1.2693    3.8760    4.4111    1.8832
    Depol. (Plane) ---     0.7498    0.7266    0.7488    0.7094    0.7447
    Depol. (Unpol) ---     0.8570    0.8416    0.8563    0.8300    0.8537
 Coord Atom Element:
   1     1     6         -0.03273  -0.00228   0.00020   0.00414  -0.00270
   2     1     6          0.03029  -0.00124  -0.04151  -0.00834   0.02791
   3     1     6         -0.00994  -0.04122   0.09020  -0.04487  -0.07095
   1     2     6         -0.02359  -0.00409  -0.00057  -0.00086  -0.00031
   2     2     6          0.03451  -0.00358  -0.03282  -0.02808  -0.00266
   3     2     6         -0.02385  -0.03313   0.06343   0.00872   0.00994
   1     3     6         -0.02131  -0.00152  -0.00276  -0.00492  -0.00233
   2     3     6          0.02474   0.00424  -0.02256  -0.04346  -0.03566
   3     3     6         -0.01731  -0.05502   0.04782   0.05597   0.07948
   1     4     6         -0.02635  -0.00067  -0.00066  -0.00239  -0.00496
   2     4     6          0.01368   0.00939  -0.01624  -0.03701  -0.03578
   3     4     6         -0.00702  -0.06431   0.03282   0.04634   0.06845
   1     5     6         -0.03450  -0.00049   0.00064   0.00334  -0.00612
   2     5     6          0.01230   0.00606  -0.01633  -0.01758  -0.01089
   3     5     6         -0.00304  -0.05582   0.03373  -0.00221   0.00775
   1     6     6         -0.03772  -0.00067   0.00099   0.00600  -0.00527
   2     6     6          0.01922   0.00359  -0.03314  -0.00535   0.01847
   3     6     6         -0.00108  -0.04857   0.06817  -0.04439  -0.05746
   1     7     8         -0.02315  -0.00034  -0.00008  -0.00582  -0.00606
   2     7     8          0.00426   0.01381  -0.00578  -0.05132  -0.06008
   3     7     8         -0.00168  -0.07363   0.01050   0.08673   0.12218
   1     8     6         -0.02726  -0.00046   0.00122  -0.00269  -0.00566
   2     8     6         -0.00495   0.00978   0.00697  -0.03635  -0.03744
   3     8     6          0.00372  -0.06439  -0.01718   0.05850   0.06416
   1     9     6         -0.03515  -0.00075   0.00287   0.00391  -0.00619
   2     9     6         -0.00358   0.00704   0.01053  -0.01332  -0.01462
   3     9     6          0.00084  -0.05718  -0.02679   0.00253   0.00819
   1    10     6         -0.03890  -0.00060   0.00460   0.00605  -0.00731
   2    10     6          0.00437   0.00486  -0.00237  -0.01012  -0.01206
   3    10     6         -0.00080  -0.05113   0.00180  -0.01373   0.00538
   1    11     6         -0.02343  -0.00063   0.00018  -0.00580  -0.00547
   2    11     6         -0.01564   0.00423   0.01257  -0.04315  -0.03838
   3    11     6          0.01250  -0.05329  -0.02963   0.08929   0.06453
   1    12     6         -0.02677   0.00074   0.00356  -0.00476  -0.00406
   2    12     6         -0.02503  -0.00358   0.02518  -0.02755  -0.00719
   3    12     6          0.01824  -0.03057  -0.05220   0.05896  -0.01324
   1    13     6         -0.03502  -0.00014   0.00635   0.00199  -0.00197
   2    13     6         -0.02091   0.00010   0.03638  -0.00795   0.02232
   3    13     6          0.00616  -0.04210  -0.08560   0.00840  -0.09280
   1    14     6         -0.03879  -0.00090   0.00580   0.00540  -0.00390
   2    14     6         -0.01025   0.00537   0.02867  -0.00299   0.01336
   3    14     6         -0.00124  -0.05095  -0.06569  -0.01734  -0.06608
   1    15     6         -0.04734  -0.00193   0.00281  -0.00282   0.00015
   2    15     6          0.00455  -0.00654  -0.00067  -0.00385  -0.01524
   3    15     6         -0.00061  -0.02532  -0.00183  -0.02592   0.01303
   1    16     6          0.01419   0.00155  -0.00679  -0.00993   0.00842
   2    16     6          0.00255   0.00952  -0.00208  -0.00388  -0.00485
   3    16     6          0.00061   0.00056  -0.00473  -0.02585   0.03124
   1    17     6          0.01304  -0.00136  -0.01863  -0.05113   0.03893
   2    17     6          0.00250  -0.00447  -0.00019  -0.00239  -0.01516
   3    17     6          0.00078   0.02709  -0.00772  -0.02605   0.04967
   1    18     6         -0.04969  -0.00734  -0.01960  -0.08094   0.05885
   2    18     6          0.00442  -0.03407   0.00309  -0.00060  -0.03617
   3    18     6         -0.00026   0.02842  -0.00791  -0.02684   0.05092
   1    19     6         -0.11178  -0.01066  -0.00952  -0.06942   0.04737
   2    19     6          0.00644  -0.05013   0.00448  -0.00083  -0.04690
   3    19     6         -0.00150   0.00310  -0.00503  -0.02649   0.03354
   1    20     6         -0.11041  -0.00813   0.00105  -0.03233   0.01913
   2    20     6          0.00649  -0.03624   0.00267  -0.00168  -0.03614
   3    20     6         -0.00168  -0.02351  -0.00203  -0.02607   0.01489
   1    21     6          0.06895   0.00887   0.00097   0.03810  -0.02055
   2    21     6          0.00086   0.04098  -0.00536  -0.00165   0.01505
   3    21     6          0.00157  -0.00076  -0.00449  -0.02533   0.03050
   1    22     8          0.18089   0.00683  -0.05363  -0.04691   0.03149
   2    22     8         -0.00176   0.05312  -0.00513   0.00431   0.02039
   3    22     8          0.00276   0.02525  -0.00746  -0.01953   0.04541
   1    23     6          0.24114   0.01688  -0.05050   0.03113  -0.00889
   2    23     6         -0.00426   0.08584  -0.00669   0.02172   0.03478
   3    23     6          0.00375   0.02664  -0.00742  -0.01674   0.04520
   1    24     8          0.01758   0.01608   0.05038   0.14669  -0.08616
   2    24     8          0.00203   0.05337  -0.00776  -0.00217   0.02373
   3    24     8          0.00088  -0.02196  -0.00162  -0.02653   0.01732
