   0.708029D-01   0.342228D+00  -0.491672D+00
   0.342228D+00  -0.540235D-01   0.546673D-01
  -0.491672D+00   0.546673D-01  -0.323897D-01
  -0.164522D+00   0.250238D-01  -0.473383D-01
   0.250238D-01   0.152939D+00  -0.174462D+00
  -0.473383D-01  -0.174462D+00  -0.562106D-01
  -0.181553D-01  -0.330989D+00   0.268619D+00
  -0.330989D+00   0.498960D-01  -0.372481D-01
   0.268619D+00  -0.372481D-01  -0.469305D-02
   0.157880D+00  -0.872342D-01  -0.287238D+00
  -0.872342D-01   0.234393D+00  -0.229463D+00
  -0.287238D+00  -0.229463D+00  -0.225196D+00
   0.647086D-01   0.108040D+00   0.156915D+00
   0.108040D+00   0.679517D-01  -0.184707D+00
   0.156915D+00  -0.184707D+00  -0.171784D+00
   0.157851D+00   0.425356D+00   0.249248D+00
   0.425356D+00   0.216538D+00  -0.216714D+00
   0.249248D+00  -0.216714D+00  -0.110933D+00
  -0.728844D-01   0.418031D+00   0.144103D+00
   0.418031D+00  -0.194543D+00   0.172349D+00
   0.144103D+00   0.172349D+00   0.131609D+00
   0.280401D-02   0.296835D-01  -0.327501D+00
   0.296835D-01  -0.323039D-02  -0.231932D-01
  -0.327501D+00  -0.231932D-01   0.505321D-01
  -0.107858D-01  -0.248489D+00  -0.505089D-01
  -0.248489D+00  -0.107239D-01  -0.202923D-01
  -0.505089D-01  -0.202923D-01   0.142661D-01
   0.668312D-02  -0.507842D-01  -0.285741D-01
  -0.507842D-01   0.205607D+00   0.128379D+00
  -0.285741D-01   0.128379D+00  -0.556694D-02
  -0.400791D-02  -0.123373D+00   0.142731D+00
  -0.123373D+00  -0.959357D-02  -0.175603D-01
   0.142731D+00  -0.175603D-01   0.107825D-01
   0.398955D+00  -0.160645D-01   0.202797D-01
  -0.160645D-01  -0.296965D+00   0.955976D-02
   0.202797D-01   0.955976D-02  -0.778899D-01
  -0.723474D-01  -0.191854D-01   0.928478D-01
  -0.191854D-01   0.168160D+00  -0.449350D-01
   0.928478D-01  -0.449350D-01  -0.109970D+00
   0.143042D+00  -0.760556D-01   0.462713D-01
  -0.760556D-01  -0.349681D+00   0.123919D+00
   0.462713D-01   0.123919D+00   0.117887D-01
   0.745105D-01   0.213072D+00  -0.104649D+00
   0.213072D+00  -0.600999D-01   0.252296D-01
  -0.104649D+00   0.252296D-01  -0.821311D-01
   0.227874D-01   0.301009D+00   0.758215D-01
   0.301009D+00  -0.203133D-01   0.704587D-02
