    1.58854D-01    5.79307D-03   -1.99250D-02
   -2.90838D-02   -2.45587D-01    8.34768D-01
    1.14928D+00   -3.81991D-02   -2.15253D-02
   -7.44269D-01   -1.77744D-02   -1.69442D-01
    4.28762D-01    2.01127D-01   -4.23904D-01
    4.47376D-01   -5.93878D-01    5.29045D-01
   -3.24820D-01    5.34795D-01   -5.62044D-01
   -2.12506D+00   -6.38057D-02    9.63918D-02
    3.05890D+00   -8.61790D-02    1.81213D-01
    2.23877D-01   -7.14513D-01   -1.10873D+00
   -2.19048D+00    9.49391D-02   -7.03559D-03
   -2.73784D-02   -1.88796D-01   -7.54145D-01
   -5.67914D-01   -5.39540D-01    1.67101D-01
   -2.50135D-01    2.97289D-03    5.10555D-01
    7.32731D-01   -1.24746D-01    1.63035D-01
   -1.30080D+00    6.51060D-02   -7.32426D-02
   -3.95223D-01   -8.83896D-01   -3.15480D-01
   -6.93358D-01    3.06473D-01    1.52446D-01
   -4.63221D-03   -4.15307D-01   -3.43392D-02
    6.18002D-02   -8.16020D-01   -1.02207D+00
   -3.88206D+00    1.32205D-01   -6.49354D-02
    2.24927D-01    1.62069D+00   -1.31924D+00
    8.49324D-02    1.32608D-01    5.37453D-02
   -1.14455D+00    1.15726D-01   -6.90020D-02
    1.61784D-01    6.80290D-02   -1.94303D-01
    8.55689D-01    8.95965D-01   -2.36305D-01
    3.77084D-01   -1.49402D+00    4.08976D-01
   -2.53100D-01    1.26229D-01    1.91674D-01
   -3.50471D+00    9.35497D-02   -9.50649D-02
    3.60491D-01   -1.32178D+00   -4.70223D-01
    3.12611D+00   -1.08617D-01    6.46462D-02
    1.47148D-01    2.80101D-01    1.25289D+00
    1.31856D+00   -1.04230D-01    7.55994D-02
   -1.09714D+00   -5.09179D-01   -4.99970D-02
    6.96380D-01    5.05293D+00   -4.47318D+00
    4.03224D-01   -3.67041D-01    1.27435D-01
    2.78304D-01   -1.18900D+00   -2.41196D+00
    2.21903D-01    3.51512D-03   -2.98334D-02
    4.93354D-01    3.03802D-01   -4.37259D-02
   -6.87124D-01    1.09542D+00   -2.83117D-01
   -2.77677D-01   -4.27507D-01    1.62272D+00
    2.90763D-01   -2.90943D-01    3.67747D+00
   -6.64480D-01    1.15724D+00    1.45591D+00
    2.99167D+00   -4.37471D-01   -1.08477D-01
   -7.73135D+00    1.41815D-01   -5.26694D-01
    6.16986D-01   -2.88494D-01   -3.29097D+00
   -6.72510D+00    2.68055D-01   -8.41242D-01
   -6.53597D-01    1.94287D-01    8.94529D+00
    1.28366D+00   -3.37621D-02    6.65513D-02
    2.11862D-01   -1.15754D-02   -1.40207D-02
   -1.28010D-01   -3.01666D+00   -1.64294D-01
    9.12002D+00   -3.33713D-01    1.91385D-01
   -1.78266D-01   -1.65947D+00    2.70260D+00
   -1.28429D-01   -1.58709D+00    2.26408D+00
   -2.77671D+00    1.12829D-01   -6.46733D-02
    9.11084D-02    8.46147D-01   -9.43748D-01
    1.89533D-01    1.88942D+00   -1.48597D-01
    4.37669D+00   -1.46987D-01    1.50113D-02
    6.45664D-02    7.79724D-01   -1.26282D+00
    3.77762D+00   -4.81315D-02   -6.26678D-02
    1.98005D+00    1.08938D-03   -5.50185D-02
   -1.70783D-01   -2.29133D+00    2.77098D-01
    6.32613D-03   -2.45299D-01    4.35593D-01
    5.78597D+00   -1.86994D-01    9.85039D-02
   -5.78390D-02    1.17172D+00    7.07961D-01
    1.98158D-02    1.22067D+00   -8.04477D-02
    2.47389D+00   -4.98598D-02    1.24365D-01
   -1.00739D-01   -2.96816D-02   -8.63997D-02
    1.15844D+00    3.67100D-01   -6.02176D-01
   -5.68511D-01    7.52220D-01   -1.13964D+00
   -1.97750D+00    9.23849D-02   -9.63984D-02
   -2.83212D-01   -2.62807D+00    8.40392D+00
    1.46864D-01    1.94792D-01   -1.83970D+00
    5.23776D-01    3.06665D-01   -3.03951D+00
    3.57793D-01    3.83483D-02   -5.92527D-02
   -2.01091D-01   -3.50378D-01    3.41169D+00
    1.23589D+00   -9.93461D-02    3.51516D-01
    1.76164D-02    1.08858D+00   -2.14052D-01
   -1.13517D+00    2.46762D-02   -1.85928D-02
    1.21072D-01    1.30838D+00   -8.14302D-01
    8.32805D-01   -6.07008D-02    1.31319D-02
    3.69974D-01   -6.15249D-03   -3.19974D-03
   -2.94574D-01    2.80104D-02   -1.15984D-01
   -9.61916D-01   -1.64880D-01    5.09440D+00
   -6.48293D-02   -1.31386D+00   -7.05260D-02
    1.00028D+01   -3.67658D-01    2.02372D-01
   -1.74615D-01   -2.49982D+00   -1.03590D+00
   -7.24056D+00    2.90048D-01   -1.35986D-01
    2.00946D-01    5.10055D-01   -1.80023D+00
    8.42728D-01    1.01257D-01   -1.57585D-01
   -7.83531D-02   -1.14904D+00    1.65464D+00
   -1.58170D+00   -8.39555D+00    7.42036D+00
    1.21450D+00   -3.87687D+00    5.30598D+00
   -4.22695D-01   -1.73632D+00    3.63356D+00
   -7.12389D+00    2.71607D-01   -1.57200D-01
    3.23683D-01    1.56942D+00   -9.93190D-01
   -8.78794D-01   -5.14642D+00    6.36907D+00
    6.91340D+00   -1.05902D-01    5.51742D-02
   -1.25587D-01    2.00923D+00    2.57034D-01
    4.77395D+00   -1.73563D-01    1.04939D-01
    1.60256D-01    1.13582D+00   -1.44362D+00
    2.28241D-01    4.60295D+00   -3.35495D+00
   -1.35733D-02   -1.87223D-01    5.95375D-01
    2.77993D-01    6.85542D-04    8.71434D-03
   -1.36937D-01   -2.66179D+00    7.97763D-01
   -2.06714D+01    8.41806D-01   -4.85708D-01
   -2.08055D+00   -1.36097D+01    1.72741D+01
   -1.58785D-02   -2.53187D+00   -2.00212D+00
   -6.39534D-01    4.81691D-01    7.62433D+00
    2.29188D+01   -7.03516D-01    3.72029D-01
   -8.25583D-01    1.09922D+00    1.03153D+00
    1.55591D+00    5.68376D-01    6.87666D-01
   -3.47582D-01    2.19378D-02    5.42179D+00
    1.10454D+00    3.87343D+00   -3.69797D+00
   -2.24023D-01    1.45752D+00   -2.92712D-01
   -2.26761D+01    8.50114D-01   -4.50059D-01
   -1.25995D-01   -2.36352D+00    1.04926D-01
    1.80067D-01    6.72111D+00    1.29046D+00
   -1.63798D+01    5.19263D-01   -3.36257D-01
   -3.14160D+01    1.20890D+00   -5.79628D-01
   -9.72110D-01    4.17091D-02    3.84988D+00
    8.10033D-01    9.53564D+00    2.22442D+00
    3.08408D+00   -1.12033D+00    2.68013D-02
   -1.31351D+00   -1.04724D-01   -8.40311D-02
