File_number	Voc	Jsc	PCE	FF	Rsh	Rs
6-1fs.txt	0.8590 	29.6000 	0.1558 	0.6128 	22509.8039 	5.8521 
6-2.txt	0.8690 	30.1250 	0.1629 	0.6222 	26210.0457 	5.3073 
6-2-2.txt	0.8790 	30.0500 	0.1685 	0.6379 	5792.1292 	5.0028 
6-2-3.txt	0.8790 	30.1500 	0.1691 	0.6380 	9111.1111 	5.0556 
6-2fs.txt	0.8300 	29.8500 	0.1503 	0.6067 	151052.6316 	5.3773 
6-3.txt	0.8840 	30.1750 	0.1702 	0.6380 	19930.5556 	5.1639 
6-3fs.txt	0.8490 	30.0750 	0.1597 	0.6254 	441538.4615 	5.3465 
6-4.txt	0.8750 	25.5500 	0.1416 	0.6334 	25855.8559 	5.7163 
6-4fs.txt	0.8410 	25.7500 	0.1352 	0.6242 	4261.3215 	5.9626 
6-5.txt	0.8780 	25.9250 	0.1461 	0.6417 	11786.4476 	5.5110 
6-5fs.txt	0.8480 	25.7500 	0.1393 	0.6379 	11189.0838 	5.4867 
6-6.txt	0.8930 	24.9250 	0.1473 	0.6616 	11228.4820 	5.7603 
6-6fs.txt	0.8660 	24.8300 	0.1404 	0.6529 	6932.3672 	5.8793 
