File_number	Voc	Jsc	PCE	FF	Rsh	Rs
5-2fs.txt	0.764	26.3	0.12931	0.64358	4192.84149	4.84373
5-3-2.txt	0.842	25.15	0.14403	0.68015	5073.36044	5.54908
5-3.txt	0.857	25.5	0.14014	0.64126	159444.4444	6.76613
5-3fs.txt	0.761	24.8075	0.12114	0.64167	3377.26524	5.60161
5-4.txt	0.821	29.625	0.16112	0.66244	4085.40925	4.35237
5-4fs.txt	0.73	30.575	0.12574	0.56336	2801.36652	5.02828
5-6.txt	0.842	31.05	0.17121	0.65485	35432.09877	4.91777
5-6fs.txt	0.78	30.75	0.13834	0.57677	2852.8827	5.7609
6-1.txt	0.888	25.35	0.16119	0.71606	94098.36066	3.80586
6-1fs.txt	0.792	25.45	0.1278	0.63403	104363.6364	4.96617
6-2.txt	0.884	26.525	0.17059	0.7275	12986.42534	3.30152
6-2fs.txt	0.779	27	0.13458	0.63983	20872.72727	4.29325
6-3-2.txt	0.868	28	0.17283	0.71112	24425.53191	3.25632
6-3.txt	0.879	27.525	0.17599	0.72738	318888.8889	3.46909
6-3fs.txt	0.785	27.925	0.13778	0.62853	2984.9194	4.30877
6-4-2.txt	0.878	26.975	0.17537	0.74047	4358.39028	3.26307
6-4.txt	0.889	27.2	0.18692	0.77301	11762.29508	3.01166
6-4fs.txt	0.78	26.65	0.13334	0.64144	124782.6087	4.45212
6-5.txt	0.872	27.05	0.16387	0.69475	4094.15121	3.56532
6-5fs.txt	0.779	27	0.13458	0.63983	20872.72727	4.29325
6-6.txt	0.881	26.975	0.16648	0.70052	17185.62874	3.87068
6-6fs.txt	0.795	26.7	0.13648	0.64296	10455.37341	4.7066
8-1.txt	1.019	8.5475	0.09634	1.10606	5790.96045	19.20593
8-2.txt	1.017	13.35	0.12966	0.95504	75625.82345	13.52635
8-2fs.txt	0.89	12.95	0.04404	0.38208	1595.50812	43.47117
8-3-2.txt	1.021	15.855	0.15736	0.97208	5375.03512	15.3069
8-3.txt	1.025	15.9125	0.15186	0.93106	7090.79679	17.08817
8-3fs.txt	0.915	15.8675	0.04766	0.32824	744.73882	56.04706
8-4-2.txt	1.026	10.125	0.1163	1.11953	8768.71372	13.51475
8-4.txt	1.033	11.5975	0.12697	1.05983	5603.827	11.27564
8-4fs.txt	0.885	9.6925	0.03656	0.42618	2196.87691	36.23451
8-5.txt	1.03	7.8325	0.08707	1.07933	51945.70136	15.89497
8-6.txt	1.021	5.825	0.0573	0.96339	63355.40839	20.46455
9-2-2.txt	1.046	14.07	0.19046	1.29412	6282.1495	9.07194
9-2-3.txt	1.043	13.6975	0.18553	1.29865	4378.67114	9.59187
9-2.txt	1.046	15.055	0.17773	1.12859	3947.7304	8.259
9-2fs.txt	0.89	14.8675	0.05245	0.39641	1041.74229	23.29808
9-3-2.txt	1.051	12.92	0.15447	1.13756	6094.06519	9.98629
9-3.txt	1.058	15.345	0.16709	1.0292	3979.75456	9.9985
9-3fs.txt	0.925	11.1875	0.03907	0.37756	1293.84185	42.93882
9-4.txt	1.05	9.5375	0.11858	1.18411	8010.04745	12.31429
9-4fsw.txt	0.896	8.7275	0.0319	0.4079	1350.33405	32.84927
9-5-2.txt	1.031	5.505	0.05609	0.98819	223346.3035	24.68237
9-5.txt	1.026	5.085	0.05311	1.01795	62188.51571	23.93003
9-5fs.txt	0.872	5.7825	0.02552	0.50608	6581.05939	45.84895
